"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","237","Увеличение счетчика 'Выполнено за всё время' при создании нового заказа","tests","2025-12-07","broken","2025-12-07","TestOrderFeed","test_order_feed","",""
"","92779","Увеличение счетчика 'Выполнено за сегодня' при создании нового заказа","tests","2025-12-07","failed","2025-12-07","TestOrderFeed","test_order_feed","",""
"","94951","Увеличение счетчика 'Выполнено за сегодня' при создании нового заказа","tests","2025-12-07","failed","2025-12-07","TestOrderFeed","test_order_feed","",""
"","42945","После оформления заказа его номер появляется в разделе «В работе»","tests","2025-12-07","passed","2025-12-07","TestOrderFeed","test_order_feed","",""
"","123418","Увеличение счетчика 'Выполнено за всё время' при создании нового заказа","tests","2025-12-07","passed","2025-12-07","TestOrderFeed","test_order_feed","",""
"","41490","После оформления заказа его номер появляется в разделе «В работе»","tests","2025-12-07","failed","2025-12-07","TestOrderFeed","test_order_feed","",""
